,symbol,cluster
0,CSCO,13
1,UAL,96
2,TROW,0
3,ISRG,1
4,PRGO,56
5,LUK,2
6,TPR,103
7,DVN,99
8,MRO,88
9,BA,3
10,VRTX,75
11,GILD,88
12,EQIX,16
13,TIF,108
14,MDT,36
15,V,4
16,A,1
17,FOX,5
18,MO,107
19,SWKS,28
20,MCHP,86
21,CDNS,97
22,WLTW,104
23,MSCI,6
24,EIX,7
25,BBY,81
26,WBA,55
27,AJG,13
28,DTE,16
29,C,8
30,T,9
31,CF,10
32,DISH,109
33,MGM,11
34,XL,12
35,HUM,13
36,WU,14
37,APH,93
38,SYY,101
39,MSI,15
40,FCX,20
41,ADM,12
42,LH,5
43,STI,61
44,GGP,39
45,UTX,16
46,PKI,17
47,LNT,31
48,BAC,52
49,LNC,96
50,GPN,89
51,SRCL,1
52,PPG,18
53,RHT,101
54,IRM,19
55,WYN,20
56,ESS,81
57,NOV,37
58,HAL,77
59,STZ,13
60,FLS,21
61,DXC,83
62,ADI,2
63,F,90
64,HOG,81
65,ADBE,22
66,TDG,50
67,ULTA,23
68,ARE,35
69,SYK,24
70,CB,109
71,TSN,25
72,FLR,66
73,PEP,26
74,PEG,47
75,LLY,82
76,COST,37
77,REG,27
78,LLL,28
79,LOW,36
80,MDLZ,29
81,BKNG,68
82,FMC,96
83,HCP,80
84,XEL,110
85,AIZ,30
86,CERN,13
87,MET,55
88,DLR,44
89,XRAY,9
90,SCG,48
91,FAST,29
92,TJX,94
93,SNA,54
94,D,11
95,CA,50
96,MRK,59
97,STX,31
98,NOC,39
99,BXP,39
100,IPG,24
101,UNP,30
102,ORCL,76
103,ECL,96
104,ETR,65
105,EBAY,68
106,SBUX,88
107,IR,64
108,AMT,110
109,INTU,6
110,DRE,4
111,JEC,32
112,CMA,37
113,PG,47
114,CAT,68
115,MCD,33
116,MNST,77
117,AMZN,91
118,INTC,90
119,PNR,37
120,GLW,5
121,BDX,61
122,PWR,13
123,EXR,67
124,WELL,48
125,HOLX,113
126,EXPD,106
127,TXN,60
128,SJM,34
129,TMO,3
130,OXY,1
131,RL,70
132,CCI,35
133,MMM,10
134,MOS,18
135,HSY,101
136,JNPR,90
137,DHI,88
138,ED,51
139,ES,36
140,DWDP,68
141,IP,15
142,EXPE,92
143,KO,80
144,PCAR,84
145,WDC,36
146,NEE,88
147,UPS,37
148,FLIR,101
149,LEG,98
150,EMR,96
151,MSFT,38
152,ANSS,39
153,CTAS,97
154,UDR,40
155,RTN,35
156,WEC,41
157,AME,42
158,HP,43
159,IT,113
160,ACN,44
161,VRSN,28
162,EW,14
163,FL,34
164,CMG,60
165,AWK,45
166,COO,115
167,SHW,103
168,HPQ,18
169,AMAT,68
170,CCL,46
171,MLM,106
172,TMK,30
173,ATVI,33
174,EA,69
175,DE,34
176,SPG,1
177,AMD,97
178,MYL,37
179,KLAC,47
180,NDAQ,48
181,URI,84
182,WHR,49
183,PNC,90
184,KMX,82
185,BIIB,69
186,NVDA,18
187,CHRW,3
188,ROP,110
189,IDXX,68
190,EXC,82
191,HES,59
192,HD,23
193,ALB,50
194,VLO,45
195,AON,17
196,FDX,51
197,HIG,10
198,CMS,38
199,COL,95
200,CAG,3
201,INCY,52
202,SCHW,53
203,HSIC,54
204,AZO,37
205,AXP,55
206,DFS,19
207,SEE,56
208,HRL,57
209,SO,24
210,FRT,99
211,ZBH,68
212,CME,5
213,XOM,65
214,AMP,53
215,AMG,27
216,CVX,58
217,ETFC,81
218,CMCSA,100
219,PCG,65
220,PNW,108
221,ICE,59
222,NFX,60
223,CTXS,61
224,BEN,73
225,DISCK,60
226,UHS,75
227,EMN,67
228,SBAC,56
229,ROK,59
230,NRG,62
231,NSC,51
232,NKE,12
233,FIS,96
234,DPS,23
235,VTR,82
236,MAS,114
237,RF,98
238,CELG,63
239,MON,77
240,TAP,74
241,MAR,29
242,PX,101
243,CMI,64
244,FB,100
245,MTD,72
246,VAR,65
247,BF-B,66
248,KR,70
249,PLD,67
250,IBM,100
251,USB,47
252,BSX,71
253,LKQ,85
254,ITW,110
255,EOG,16
256,PVH,54
257,KMB,67
258,SPGI,61
259,NEM,62
260,SYMC,37
261,WFC,76
262,ANDV,83
263,EL,113
264,GS,68
265,GD,75
266,CNP,69
267,PM,63
268,RE,67
269,MCO,25
270,CLX,44
271,CAH,69
272,CBS,67
273,HRB,75
274,DGX,73
275,AVB,87
276,DIS,70
277,GE,16
278,ALL,57
279,ETN,67
280,ALGN,109
281,NFLX,80
282,LEN,79
283,BHF,78
284,FITB,96
285,GWW,10
286,NTRS,9
287,CVS,44
288,CTL,71
289,AOS,72
290,FE,62
291,ABC,65
292,JPM,55
293,ABT,57
294,CXO,40
295,OMC,43
296,COF,109
297,TSCO,73
298,PH,110
299,AYI,0
300,JBHT,42
301,MAC,66
302,COP,41
303,DHR,26
304,COG,75
305,MAT,77
306,CNC,56
307,MCK,17
308,TXT,74
309,MTB,33
310,DISCA,80
311,AKAM,80
312,RMD,55
313,GOOGL,82
314,PAYX,32
315,ALK,79
316,DRI,90
317,ILMN,6
318,AAL,75
319,XLNX,4
320,MAA,111
321,HRS,76
322,MMC,80
323,FOXA,36
324,GT,89
325,FFIV,77
326,VNO,48
327,CINF,22
328,VMC,78
329,TWX,79
330,SRE,41
331,ORLY,80
332,IVZ,90
333,RCL,57
334,ARNC,100
335,PXD,58
336,SNPS,81
337,GOOG,82
338,SIVB,27
339,YUM,83
340,EQT,84
341,PH (1),110
342,KSS,27
343,PFE,85
344,DUK,86
345,REGN,72
346,CL,86
347,VFC,87
348,VZ,16
349,NKTR,83
350,APC,42
351,JCI,110
352,ESRX,99
353,AMGN,44
354,TEL,102
355,ADP,14
356,AET,93
357,LB,27
358,STT,88
359,RRC,91
360,RSG,100
361,IFF,68
362,ANTM,70
363,GPS,90
364,BLL,28
365,S&P500,37
366,QCOM,100
367,GIS,89
368,PHM,58
369,ROST,105
370,LUV,90
371,ALXN,93
372,XEC,68
373,MS,57
374,CPB,75
375,OKE,91
376,BK,92
377,CHD,10
378,SLG,94
379,BHGE,68
380,MHK,58
381,DAL,47
382,APA,27
383,K,102
384,JWN,93
385,AFL,94
386,NI,95
387,PFG,115
388,ZION,15
389,RJF,81
390,HBAN,114
391,UNH,66
392,PRU,96
393,GPC,8
394,FISV,110
395,WMB,46
396,EQR,91
397,PBCT,103
398,KSU,97
399,DVA,21
400,MA,44
401,HBI,103
402,HON,33
403,O,98
404,TTWO,112
405,AES,90
406,SLB,99
407,XRX,7
408,TGT,33
409,AAPL,100
410,MKC,101
411,WY,9
412,APD,102
413,GRMN,58
414,AEE,103
415,DLTR,16
416,HAS,2
417,WMT,104
418,NTAP,36
419,BBT,91
420,KIM,18
421,BAX,79
422,LMT,64
423,KEY,97
424,UNM,58
425,BMY,66
426,PSA,42
427,WYNN,90
428,RHI,27
429,EFX,105
430,NUE,4
431,PKG,106
432,NBL,49
433,CTSH,69
434,SWK,107
435,MU,108
436,TRV,109
437,BRK-B,97
438,L,54
439,VIAB,102
440,AEP,41
441,CI,110
442,JNJ,86
443,WM,87
444,DOV,88
445,FTI,65
446,AGN,111
447,M,112
448,TSS,113
449,CRM,62
450,PGR,114
451,WAT,61
452,BWA,75
453,LRCX,81
454,NWL,110
455,UAA,68
456,BLK,115
457,PPL,45